College District,Student Count
bangalore,229
coimbatore,103
anathapuramu,78
kakinada,59
kadapa,57
warangal,47
ranga reddy,46
hyderabad,43
guntur,40
medchal,35
kapurthala,31
namakkal,31
visakhapatnam,30
eluru,28
jalandhar,28
hanamkonda,20
tumkur,17
ranchi,17
kurnool,17
phagwara,17
bhadradri kothagudem,15
east godavari,14
chittoor,10
nandyal,10
ntr,10
prakasam,9
trichy,9
vishakapatnam,9
tirupati,8
theni,8
bangalore urban,7
tumakuru,6
khammam,5
ntr district,5
west godavari,5
dr b r ambedkar konaseema,5
karnataka,4
krishna,4
nashik,4
medchal malkajgiri,4
kothagudem,4
surampalem,4
chengalpattu,3
badradri kothagudem,3
nammakal,3
dr.b.r.ambedkar konaseema district,3
konaseema,3
medchal-malkajgiri,3
faridabad,3
bengalore,2
ananthapuramu,2
annamayya,2
banglore rural,2
warangal urban,2
north 24 parganas,2
namakal,2
nammakkal,2
nizamabad,2
punjab,2
ramanathapuram,2
medical,2
medchal-malkajigiri,2
mumbai suburban,2
hanumakonda,2
karimnagar,2
kadapa district,2
hasanparthy,2
k r puram,2
tumkuru,2
tirupathi,2
bengluru,2
anantapuram,1
anantapuramu,1
anathpuram,1
anathapur,1
anantapur district,1
cmr institute of technology,1
chitttooor,1
bijapur,1
chandigarh,1
benagluru,1
bengaluru south,1
bhadhradhri kothagudem,1
bhadrachalam,1
belgavi,1
benagaluru,1
bangalore north,1
bangalore rular,1
bangalore university,1
bangalore south,1
bangaluru,1
banglore- rural,1
anatupuram,1
asr district,1
anthapurm,1
atp,1
badhradhri kothagudem,1
anatapuram,1
24 pgs north,1
amalapuram,1
anakapalle,1
ambedkar konaseema,1
east godvari,1
east godavari surampalem,1
doddaballapura,1
doddbalapur,1
duvvada,1
covai,1
medchal hyderabad telangana,1
mandya,1
lovely professional university,1
kupurthala,1
krishna district,1
krishnagiri,1
kottagudem,1
kr puram,1
khaturala,1
konnasemma,1
kirshna district,1
jalhander,1
kanyakumari,1
kapurthaal,1
kathurala,1
kdp,1
kadapa peddasettipalli,1
jhajjar,1
kakinada district,1
dr.br.ambedkar konaseema district,1
dr. b.r ambedkar konaseema,1
dr.br.ambedhkar konaseema district,1
dr b.r.a.konaseema,1
dr. b. r. ambedkar konaseema,1
gunter,1
gajuwaka,1
fg,1
eluru district,1
east singhbhum,1
hanmakonda,1
hyd,1
ibrahimpatnum,1
cuddapah,1
delhi,1
phgwara,1
north 24 pgns,1
proddutur,1
proddatur,1
mysore,1
mysuru,1
meerpet,1
medhcal,1
medchel,1
medchal malkajgiri dist,1
nizampet,1
mysuru.,1
"tataguni, bangalore",1
rayalaseema university,1
tumk6,1
thathaguni,1
thathguni,1
ranchi sadar,1
sangareddy,1
satya sai,1
solapur,1
vadodara,1
vijayapura,1
vijaypur,1
uttar 24 parganas,1
vishakhapatnam,1
vizianagaram,1
vizag,1
vishakhapattanam,1
ysr kadapa,1
